DEPTH,ABDCQF01,ABDCQF02,ABDCQF03,ABDCQF04,BS,CALI,DRHO,GR,NBGRCFM,NPHI,PEF,RACEHM,RACELM,RD,RHOB,RM,ROP,RPCEHM,RPCELM,RT
1884.8,,,,,17.5,,,96.6698,,,,0.8424,0.8046,0.7422,,0.7506,23.2038,0.7506,0.7422,0.7506
1884.9,,,,,17.5,,,91.0417,,,,0.8378,0.8014,0.746,,0.7619,24.0568,0.7619,0.746,0.7619
1885.0,,,,,17.5,,,94.158,,,,0.849,0.8054,0.7605,,0.7762,25.3677,0.7762,0.7605,0.7762
1885.1,,,,,17.5,,,99.6923,,,,0.8704,0.8074,0.7608,,0.7871,26.6785,0.7871,0.7608,0.7871
1885.2,,,,,17.5,,,102.083,,,,0.8723,0.8132,0.7671,,0.7845,27.9892,0.7845,0.7671,0.7845
1885.3,,,,,17.5,,,101.1708,,,,0.8742,0.8118,0.7643,,0.7811,29.2585,0.7811,0.7643,0.7811
1885.4,,,,,17.5,,,96.6667,,,,0.8768,0.8175,0.7671,,0.7693,30.5279,0.7693,0.7671,0.7693
1885.5,,,,,17.5,,,96.0853,,,,0.8796,0.8172,0.7649,,0.7681,31.7967,0.7681,0.7649,0.7681
1885.6,,,,,17.5,,,97.8695,,,,0.8824,0.8168,0.7626,,0.7668,32.8629,0.7668,0.7626,0.7668
1885.7,,,,,17.5,,,97.6209,,,,0.8845,0.8178,0.769,,0.7785,33.9292,0.7785,0.769,0.7785
1885.8,,,,,17.5,,,97.3671,,,,0.8865,0.8187,0.7754,,0.7901,34.9947,0.7901,0.7754,0.7901
1885.9,,,,,17.5,,,94.9441,,,,0.8857,0.8213,0.7873,,0.7957,35.7455,0.7957,0.7873,0.7957
1886.0,,,,,17.5,,,97.8827,,,,0.8801,0.8202,0.7907,,0.8044,36.4964,0.8044,0.7907,0.8044
1886.1,,,,,17.5,,,99.2594,,,,0.8827,0.8222,0.7923,,0.7977,37.2474,0.7977,0.7923,0.7977
1886.2,,,,,17.5,,,100.6063,,,,0.8852,0.8241,0.7939,,0.791,38.0478,0.791,0.7939,0.791
1886.3,,,,,17.5,,,101.2391,,,,0.8981,0.8265,0.7878,,0.7833,38.8482,0.7833,0.7878,0.7833
1886.4,,,,,17.5,,,98.9041,,,,0.9041,0.8326,0.7907,,0.7858,39.6484,0.7858,0.7907,0.7858
1886.5,,,,,17.5,,,95.1582,,,,0.9075,0.8348,0.7927,,0.7866,40.3835,0.7866,0.7927,0.7866
1886.6,,,,,17.5,,,92.5877,,,,0.9116,0.8411,0.7967,,0.7929,41.1186,0.7929,0.7967,0.7929
1886.7,,,,,17.5,,,93.9472,,,,0.9125,0.8415,0.7959,,0.7914,41.8523,0.7914,0.7959,0.7914
1886.8,,,,,17.5,,,99.8885,,,,0.9139,0.8423,0.7979,,0.789,41.9836,0.789,0.7979,0.789
