DEPTH,ABDCQF01,ABDCQF02,ABDCQF03,ABDCQF04,BS,CALI,DRHO,DT,DTS,GR,NPHI,PEF,RACEHM,RACELM,RHOB,ROP,RPCEHM,RPCELM,RT
436.6,,,,,26.0,,,,,60.9069,,,1.5957,1.4722,,49.9414,1.5654,1.5488,1.5654
436.7,,,,,26.0,,,,,58.8068,,,1.6209,1.4712,,49.7359,1.5796,1.5366,1.5796
436.8,,,,,26.0,,,,,59.6783,,,1.646,1.4702,,49.5307,1.5939,1.5244,1.5939
436.9,,,,,26.0,,,,,60.2894,,,1.6343,1.4706,,49.4133,1.6147,1.5257,1.6147
437.0,,,,,26.0,,,,,60.3429,,,1.6225,1.471,,49.2959,1.6352,1.5271,1.6352
437.1,,,,,26.0,,,,,60.0613,,,1.6134,1.4679,,49.1783,1.546,1.5249,1.546
437.2,,,,,26.0,,,,,61.005,,,1.5951,1.4543,,49.0185,1.5337,1.4977,1.5337
437.3,,,,,26.0,,,,,62.3365,,,1.5625,1.4494,,48.8587,1.5083,1.4772,1.5083
437.4,,,,,26.0,,,,,64.9532,,,1.5301,1.4444,,48.7004,1.483,1.4568,1.483
437.5,,,,,26.0,,,,,63.7247,,,1.5368,1.4316,,49.0335,1.4909,1.439,1.4909
437.6,,,,,26.0,,,,,63.1791,,,1.5434,1.4188,,49.3667,1.4984,1.4212,1.4984
437.7,,,,,26.0,,,,,64.6209,,,1.5062,1.4027,,49.6992,1.3799,1.3621,1.3799
437.8,,,,,26.0,,,,,64.334,,,1.4941,1.3952,,49.8276,1.3972,1.3624,1.3972
437.9,,,,,26.0,,,,,64.6081,,,1.4818,1.3877,,49.9559,1.4146,1.3627,1.4146
438.0,,,,,26.0,,,,,67.497,,,1.4469,1.3603,,50.0841,1.4473,1.3563,1.4473
438.1,,,,,26.0,,,,,64.3356,,,1.4465,1.3535,,50.1659,1.4171,1.3398,1.4171
438.2,,,,,26.0,,,,,60.4721,,,1.4461,1.3467,,50.2478,1.3869,1.3233,1.3869
438.3,,,,,26.0,,,,,58.2649,,,1.4202,1.3368,,50.3294,1.3676,1.3172,1.3676
438.4,,,,,26.0,,,,,60.1871,,,1.4224,1.3212,,50.2987,1.3666,1.3114,1.3666
